,name,status,address,lat,long,id,rating,total ratings,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10
400,Sai Mai Water Park,OPERATIONAL,"14 Thanon Phoem Sin, Ao Ngoen, Sai Mai, Bangkok 10220, Thailand",13.9046935,100.6552168,ChIJZ9qXvAV9HTERXxdMmqfVYq0,3.6,368.0,tourist_attraction,amusement_park,point_of_interest,establishment,,,,,,
401,Water Park Fun,OPERATIONAL,"Thepharak, Mueang Samut Prakan District, Samut Prakan 10280, Thailand",13.6083297,100.6524008,ChIJcV9XzzpfHTERr5wujgE77wY,4.0,313.0,amusement_park,point_of_interest,establishment,,,,,,,
402,Platinum Fashion Mall,OPERATIONAL,"222 แพลทินัม แฟชั่นมอลล์ ชั้น1 ห้อง221B, Phetchaburi Rd, Thanon Phaya Thai, Ratchathewi, Bangkok 10400, Thailand",13.7500629,100.5401049,ChIJZ3p9P8-e4jAROWTAP3o5qDM,4.3,21060.0,shopping_mall,point_of_interest,establishment,,,,,,,
403,Central World,OPERATIONAL,"4 4 4/1 2 Rama I Rd, Pathum Wan, Pathum Wan District, Bangkok 10330, Thailand",13.7457329,100.5392942,ChIJ4VX0ws-e4jARBGaQ2IACrcQ,4.5,48268.0,shopping_mall,point_of_interest,establishment,,,,,,,
404,Bangkok Fashion Outlet,OPERATIONAL,"919, 1 Si Lom, Silom, Bang Rak, Bangkok 10500, Thailand",13.7218249,100.5202222,ChIJP0Cg3M-Y4jAREeOcu1wPgWY,3.7,1267.0,shopping_mall,department_store,point_of_interest,store,establishment,,,,,
405,SIAM DISCOVERY,OPERATIONAL,"989 Phayathai Rd, Pathum Wan, Pathum Wan District, Bangkok 10330, Thailand",13.7466086,100.5314152,ChIJgUSJZM2e4jAREnHS1rSuWRk,4.4,16856.0,shopping_mall,point_of_interest,establishment,,,,,,,
406,River City BANGKOK,OPERATIONAL,"23 Soi Charoen Krung 24, Talat Noi, Samphanthawong, Bangkok 10100, Thailand",13.7301721,100.5132093,ChIJs_IRUdmY4jARWdUoXTGZweI,4.3,11180.0,shopping_mall,point_of_interest,establishment,,,,,,,
407,Central Chidlom,OPERATIONAL,"1027 Phloen Chit Rd, Lumphini, Pathum Wan District, Bangkok 10330, Thailand",13.7440648,100.5443437,ChIJGyDMPNue4jARWuBxOrnS5RQ,4.4,8366.0,shopping_mall,department_store,home_goods_store,point_of_interest,store,establishment,,,,
408,The Market Bangkok,OPERATIONAL,"111 Ratchadamri Rd, Lumphini, Pathum Wan District, Bangkok 10330, Thailand",13.7478277,100.5410563,ChIJ1x9xKhWY4jARkkQbHmI_TAI,4.2,1410.0,shopping_mall,beauty_salon,bakery,cafe,spa,restaurant,food,point_of_interest,store,establishment
409,The Emporium,OPERATIONAL,"622 Sukhumvit Rd, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",13.7301613,100.5686724,ChIJhfF-wgOf4jARwAQMPbMAAQ8,4.4,10063.0,shopping_mall,point_of_interest,establishment,,,,,,,
410,MBK Center,OPERATIONAL,"444 Phayathai Rd, Wang Mai, Pathum Wan District, Bangkok 10330, Thailand",13.7447109,100.5299944,ChIJ7TZ3I5Of4jAR3lZ2lx-zXkA,4.3,21470.0,shopping_mall,point_of_interest,establishment,,,,,,,
411,EmQuartier,OPERATIONAL,"46 Sukhumvit Rd, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",13.7311901,100.5692384,ChIJcWLOjAGf4jARWrAvcZ1YFDM,4.5,16071.0,shopping_mall,point_of_interest,establishment,,,,,,,
412,Central Embassy,OPERATIONAL,"1031 Phloen Chit Rd, เเขวง ปทุมวัน Pathum Wan District, Bangkok 10330, Thailand",13.7439773,100.5458597,ChIJz_aVZ9ue4jAR9mXCLXqZstw,4.4,8814.0,shopping_mall,point_of_interest,establishment,,,,,,,
