,0,1
277,covid,82.04201979167061
278,age,82.03442660881748
279,safe,82.02502140854966
280,mind,82.0198076941606
281,across,82.01737736547618
282,explore,82.01654958290558
283,especially,82.00955594959905
284,point,81.97806080038616
285,seem,81.93091431928039
286,organize,81.92839517581265
287,start,81.91875530331708
288,friend,81.8835192539073
289,live,81.85858520252786
290,bring,81.84367707793355
291,information,81.8015712821119
292,create,81.75288834357727
293,full,81.73948490584694
294,impressive,81.67268748549611
295,line,81.63199402832322
296,source,81.6314254474028
297,town,81.5881746231094
298,big,81.56749839351949
299,enter,81.56462273803993
300,cute,81.35352985308408
301,provide,81.35323975340368
302,late,81.3261880986459
303,change,81.29495566700682
304,excellent,81.28869721039612
305,reach,81.28637211187738
306,cheaper,81.26426011071972
307,soi,81.25221287860916
308,kind,81.21009284286386
309,mostly,81.19614886970444
310,book,81.14747318695738
311,second,81.1414609146971
312,help,80.96971247768666
313,consider,80.96547602504037
314,pork,80.91804369130708
315,expect,80.85283916807025
316,overall,80.76469069180207
317,last,80.69639511206121
318,together,80.66311252763111
319,person,80.63421757558467
320,clean,80.57303153230036
321,low,80.53102037885677
322,quite,80.50101392321969
323,side,80.49216077740735
324,hand,80.40716618874399
325,enough,80.37762446172377
326,type,80.35755989542034
327,decorate,80.29525445185591
328,present,80.20691441079583
329,country,80.19989669183832
330,back,80.19917494608364
331,love,80.13036360727325
332,new,80.11270099570817
333,corner,80.10809461437059
334,holiday,80.08234650804673
335,half,80.03264303212073
336,real,80.02551448188058
337,another,80.01559002751787
338,room,80.00667315570784
339,charge,79.9947639946521
340,outdoor,79.95889288303302
341,wear,79.9342273938249
342,range,79.89294347986689
343,past,79.85541507923494
344,wait,79.85096434159654
345,location,79.82754403231702
346,stay,79.75061692086373
347,easily,79.74825894431758
348,think,79.74374699822742
349,cool,79.70288399225569
350,dessert,79.69666583454696
351,care,79.69081741701729
352,plant,79.6903356710257
353,young,79.67550503318289
354,order,79.67101209002794
355,tasty,79.63358947818789
356,right,79.5881628918803
357,compare,79.58408244513282
358,able,79.54917005465462
359,historic,79.54174476841386
360,facility,79.41995285412123
361,without,79.38333780925538
362,adult,79.37674172103243
363,accord,79.31665752058147
364,although,79.28460671630454
365,set,79.25614758499009
366,level,79.24157970889863
367,nature,79.23981577563325
368,complete,79.22046046859604
369,number,79.169990289652
370,improve,79.11807746255275
371,several,79.10337147322176
372,drive,79.04495478589591
373,opposite,79.03721547859219
374,within,78.9863413717252
375,pleasant,78.94918074633391
376,short,78.91888843548159
377,mrt,78.91484782150191
378,first,78.89024658383137
379,best,78.87685179727765
380,even,78.86216982033015
381,complex,78.8569979178735
382,behind,78.81907845124172
383,centre,78.8078257759477
384,star,78.80485362117189
385,renovation,78.78030244248538
386,today,78.70691514524081
387,meter,78.68936564470847
388,thank,78.68499501891066
389,forget,78.58378355662214
390,connect,78.43801384797257
391,thing,78.37276938139371
392,bag,78.3276328325316
393,narrow,78.29086541539884
394,please,78.28188646450306
395,wall,78.25686098641259
396,alley,78.2507242838781
397,three,78.20425325153722
398,practice,78.12738831457257
399,understand,78.07512417537735
400,holy,78.03145502384291
401,interested,77.98194747221578
402,guard,77.97250320369814
403,interest,77.84913927903571
404,bird,77.8350266843135
405,want,77.7762630299454
406,cross,77.70561356596954
407,inexpensive,77.70500872773309
408,general,77.67766253709576
409,remember,77.6697246073158
410,customer,77.66487056637975
411,difficult,77.62538692978823
412,find,77.56377948001887
413,value,77.50360338490577
414,atmosphere,77.46140716416596
415,anyone,77.45755772882605
416,far,77.40856260940625
417,favorite,77.38101618771601
418,walk,77.274066715189
419,least,77.21456806072543
420,therefore,77.2013773271021
421,turn,77.17931336480606
422,size,77.15760214621541
423,father,77.08711365239742
424,wish,77.08353153041136
425,road,77.03806076962054
426,land,77.01060761396732
427,god,76.90668678880701
428,cover,76.90050749739736
429,equipment,76.89843047027526
430,weekday,76.88902335620158
431,pretty,76.86024567633349
432,lover,76.85862323924414
433,hang,76.84092062114044
434,body,76.82320100974378
435,transportation,76.7919853968288
436,hotel,76.79196465311782
437,locate,76.67477738246902
438,put,76.66708994221057
439,front,76.57312622315979
440,opportunity,76.5373748600458
441,probably,76.46793302496803
442,door,76.43364402768196
443,stand,76.4273271147368
444,sun,76.3873486333561
445,business,76.34537809234256
446,offering,76.3315490403475
447,convenient,76.3268993504137
448,interior,76.22961434487094
449,read,76.22914021556501
450,maha,76.22728166655266
451,student,76.22285371035062
452,careful,76.14475533517513
453,move,76.14038668783579
454,round,76.1389249883327
455,pond,76.09783962715665
456,wind,76.08211049720323
457,natural,76.04342183275389
458,vegetable,76.01945929797091
459,lunch,75.92775209962038
460,long,75.92149963932903
461,year,75.91789178698578
462,waterfront,75.9146647616995
463,section,75.8643577233826
464,little,75.81684632038768
465,decoration,75.81025083533974
466,condition,75.78513986371584
467,distance,75.7761104917516
468,beside,75.7250799417872
469,month,75.7109428950337
470,chance,75.65792923674528
471,way,75.62951647031464
472,province,75.61036178589606
473,office,75.60459822207163
474,original,75.48221470477796
475,next,75.46034402462536
476,let,75.44471939213119
477,class,75.4226913250859
478,fine,75.40240395528556
479,sky,75.36498098542926
480,arrive,75.35006577254933
481,work,75.31700953000448
482,beautifully,75.24432728624146
483,management,75.15266596668766
484,animal,75.15143801151116
485,sign,75.14509206039111
486,national,75.12849573081546
